Area,Population,Doses Administered
Stephens County,9372,2305
,,
Sterling County,1141,383
,,
Stonewall County,1385,587
,,
Sutton County,3865,1316
,,
Swisher County,7484,2410
,,
Tarrant County,2019977,596103
,,
Taylor County,136348,49823
,,
Terrell County,862,526
,,
Terry County,12615,4751
,,
Throckmorton County,1567,820
,,
Titus County,32730,6040
,,
Tom Green County,117466,44882
,,
Travis County,1203166,397534
,,
Trinity County,14569,4460
,,
Tyler County,21496,5667
,,
Upshur County,40769,8379
,,
Upton County,3634,1691
,,
Uvalde County,27009,11675
,,
Val Verde County,49027,13619
,,
Van Zandt County,54368,12198
,,
Victoria County,91970,26453
,,
Walker County,71539,14149
,,
Waller County,49987,10372
,,
Ward County,11586,4316
,,
Washington County,34796,12622
,,
Webb County,272053,110249
,,
Wharton County,41551,9876
,,
Wheeler County,5482,1751
,,
Wichita County,131818,41151
,,
Wilbarger County,12906,6013
,,
Willacy County,21754,7506
,,
Williamson County,527057,168741
,,
Wilson County,48198,13957
,,
Winkler County,7802,2698
,,
Wise County,64639,16360
,,
Wood County,43815,12299
,,
Yoakum County,8571,2497
,,
Young County,18114,5912
,,
Zapata County,14369,5305
,,
Zavala County,12131,5098
